01/01/2014  724.6
01/01/2013  731.9
01/01/2012  732.8
01/01/2011  741.3
01/01/2010  747
01/01/2009  749.6
01/01/2008  774.9
01/01/2007  775.3
01/01/2006  791.8
01/01/2005  815
01/01/2004  813.7
01/01/2003  843.5
01/01/2002  855.9
01/01/2001  858.8
01/01/2000  869
01/01/1999  875.6
01/01/1998  870.1
01/01/1997  877.7
01/01/1996  893.7
01/01/1995  909.5
01/01/1994  913.2
01/01/1993  925.8
01/01/1992  905.3
01/01/1991  921.9
01/01/1990  938
01/01/1989  949.9
01/01/1988  975.1
01/01/1987  969.6
01/01/1986  978.4
01/01/1985  987.8
01/01/1984  982.1
01/01/1983  990
01/01/1982  984.9
01/01/1981  1,007 
01/01/1980  1,038.70 
01/01/1979  1,010.60 
01/01/1978  1,043.70 
01/01/1977  1,051.60 
01/01/1976  1,084.10 
01/01/1975  1,094.40 
01/01/1974  1,151.80 
01/01/1973  1,201.20 
01/01/1972  1,214.80 
01/01/1971  1,213.10 
01/01/1970  1,222.60 
01/01/1969  1,271.80 
01/01/1968  1,304.50 
01/01/1967  1,274 
01/01/1966  1,309 
01/01/1965  1,306.50 
01/01/1964  1,303.80 
01/01/1963  1,346.30 
01/01/1962  1,323.60 
01/01/1961  1,298.80 
01/01/1960  1,339.20 
01/01/1959  1,317.30 
01/01/1958  1,343.40 
01/01/1957  1,356.70 
01/01/1956  1,333.70 
01/01/1955  1,332.30 
01/01/1954  1,314.80 
01/01/1953  1,385.60 
01/01/1952  1,394.60 
01/01/1951  1,423.50 
01/01/1950  1,446 
01/01/1949  1,457.30 
01/01/1948  1,501.70 
01/01/1947  1,532 
01/01/1946  1,529.70 
01/01/1945  1,575.40 
01/01/1944  1,618.50 
01/01/1943  1,702.40 
01/01/1942  1,635.80 
01/01/1941  1,694.60 
01/01/1940  1,785 
01/01/1939  1,766.90 
01/01/1938  1,764.30 
01/01/1937  1,882.60 
01/01/1936  1,963.70 
01/01/1935  1,860.10 
01/01/1934  1,888.20 
01/01/1933  1,850.10 
01/01/1932  1,897.10 
01/01/1931  1,895.10 
01/01/1930  1,943.80 
01/01/1929  2,081.20 
01/01/1928  2,124.60 
01/01/1927  1,989.50 
01/01/1926  2,146.20 
01/01/1925  2,068.70 
01/01/1924  2,038 
01/01/1923  2,141.40 
01/01/1922  2,049.50 
01/01/1921  1,958.20 
01/01/1920  2,147.10 
01/01/1919  2,057.20 
01/01/1918  2,541.60 
01/01/1917  2,275.90 
01/01/1916  2,266.60 
01/01/1915  2,174.80 
01/01/1914  2,149.30 
01/01/1913  2,206.50 
01/01/1912  2,211.70 
01/01/1911  2,245.40 
01/01/1910  2,317.20 
01/01/1909  2,249.20 
01/01/1908  2,298.90 
01/01/1907  2,494.40 
01/01/1906  2,399 
01/01/1905  2,423.70 
01/01/1904  2,502.50 
01/01/1903  2,379 
01/01/1902  2,301.30 
01/01/1901  2,473.10 
01/01/1900  2,518 
